indicator_id,indicator,category
ZATT,ZHVI All Homes- Top Tier Time Series ($),Home values
ZSFH,ZHVI Single-Family Homes Time Series ($),Home values
ZALL,"ZHVI All Homes (SFR, Condo/Co-op) Time Series ($)",Home values
ZCON,ZHVI Condo/Co-op Time Series ($),Home values
ZABT,ZHVI All Homes- Bottom Tier Time Series ($),Home values
Z2BR,ZHVI 2-Bedroom Time Series ($),Home values
CRAM,"Share of Listings With a Price Cut (Raw, All Homes, Monthly)",Inventory and sales
ISAM,"For-Sale Inventory (Smooth, All Homes, Monthly)",Inventory and sales
IRSM,"For-sale Inventory (Raw, SFR only, Monthly)",Inventory and sales
LRSW,"Median List Price (Raw, SFR Only, Weekly View)",Inventory and sales
SRSM,"Median Sale Price (Raw, SFR only, Monthly)",Inventory and sales
SAAW,"Median Sale Price (Smooth & Seasonally Adjusted, All Homes, Weekly View)",Inventory and sales
LSSW,"Median List Price (Smooth, SFR Only, Weekly View)",Inventory and sales
SRAM,"Median Sale Price (Raw, All Homes, Monthly)",Inventory and sales
NSAM,"Median Days to Pending (Smooth, All Homes, Monthly)",Inventory and sales
RSNA,ZORI (Smoothed): All Homes Plus Multifamily Time Series ($),Rentals
RSSA,"ZORI (Smoothed, Seasonally Adjusted): All Homes Plus Multifamily Time Series ($)",Rentals
Z5BR,ZHVI 5+ Bedroom Time Series ($),Home values
Z3BR,ZHVI 3-Bedroom Time Series ($),Home values
Z1BR,ZHVI 1-Bedroom Time Series ($),Home values
Z4BR,ZHVI 4-Bedroom Time Series ($),Home values
ISAW,"For-Sale Inventory (Smooth, All Homes, Weekly View)",Inventory and sales
SSAW,"Median Sale Price (Smooth, All Homes, Weekly View)",Inventory and sales
IRAM,"For-Sale Inventory (Raw, All Homes, Monthly)",Inventory and sales
CRSM,"Share of Listings With a Price Cut (Raw, SFR Only, Monthly)",Inventory and sales
CSSM,"Share of Listings With a Price Cut (Smooth, SFR Only, Monthly)",Inventory and sales
MSAM,"Mean Days to Pending (Smooth, All Homes, Monthly)",Inventory and sales
IRAW,"For-Sale Inventory (Raw, All Homes, Weekly View)",Inventory and sales
MRAM,"Mean Days to Pending (Raw, All Homes, Monthly)",Inventory and sales
SSSW,"Median Sale Price (Smooth, SFR only, Weekly View)",Inventory and sales
LSSM,"Median List Price (Smooth, SFR Only, Monthly)",Inventory and sales
CSAW,"Share of Listings With a Price Cut (Smooth, All Homes, Weekly View)",Inventory and sales
ISSM,"For-Sale Inventory (Smooth, SFR only, Monthly)",Inventory and sales
SASW,"Median Sale Price (Smooth & Seasonally Adjusted, SFR only, Weekly View)",Inventory and sales
MRAW,"Mean Days to Pending (Raw, All Homes, Weekly View) ",Inventory and sales
LRAM,"Median List Price (Raw, All Homes, Monthly)",Inventory and sales
ISSW,"For-Sale Inventory (Smooth, SFR only, Weekly View)",Inventory and sales
MSAW,"Mean Days to Pending (Smooth, All Homes, Weekly View)",Inventory and sales
LSAM,"Median List Price (Smooth, All Homes, Monthly)",Inventory and sales
SRSW,"Median Sale Price (Raw, SFR only, Weekly View)",Inventory and sales
LSAW,"Median List Price (Smooth, All Homes, Weekly View)",Inventory and sales
NRAW,"Median Days to Pending (Raw, All Homes, Weekly View)",Inventory and sales
NSAW,"Median Days to Pending (Smooth, All Homes, Weekly View)",Inventory and sales
CRSW,"Share of Listings With a Price Cut (Raw, SFR Only, Weekly View)",Inventory and sales
SSAM,"Median Sale Price (Smooth, All Homes, Monthly)",Inventory and sales
IRSW,"For-sale Inventory (Raw, SFR only, Weekly View)",Inventory and sales
NRAM,"Median Days to Pending (Raw, All Homes, Monthly)",Inventory and sales
CRAW,"Share of Listings With a Price Cut (Raw, All Homes, Weekly View)",Inventory and sales
LRSM,"Median List Price (Raw, SFR Only, Monthly)",Inventory and sales
SASM,"Median Sale Price (Smooth & Seasonally Adjusted, SFR only, Monthly)",Inventory and sales
SSSM,"Median Sale Price (Smooth, SFR only, Monthly)",Inventory and sales
SAAM,"Median Sale Price (Smooth & Seasonally Adjusted, All Homes, Monthly)",Inventory and sales
LRAW,"Median List Price (Raw, All Homes, Weekly View)",Inventory and sales
CSAM,"Share of Listings With a Price Cut (Smooth, All Homes, Monthly)",Inventory and sales
SRAW,"Median Sale Price (Raw, All Homes, Weekly View)",Inventory and sales
CSSW,"Share of Listings With a Price Cut (Smooth, SFR Only, Weekly View)",Inventory and sales
